class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,26,,2130706432,32,0,0,0,0,0,0,62,0,7922,4314,0,0,3918,0,58,0,0,0,16604,13042,7934,1958,0,0,0,0,58,38,0,0,0,0,0,0,10942,0,1356,0,1432,22,22,120,7318,3384,0,0,0,0,10368,864,216,264,298,164,122,2,0,0,24544,0,0,4,0,3918,264,3936,3978,,,,,,,,,7800,26.44,24544,24544,27004,31,0,2340,24340,12298,1209600,612,2,4,0,5125.44,0.0,5779.2,0,0,0,0,0,0,7312,4008,884,94,0,0,10,24,24544,,1460,16,22,1120,1034,4028,3890,670,58,0,72,174,5516,22,0,4,0,6,5600,90,40,0,0,0,0,0,0,0,0,182,0,0,0,0,204,94,5760,576,11012,10,0,0,0,61.78,34,7724,3984,424,96,30,22,18,0,0,0,0,0
neg,24,,6,,0,0,0,0,0,0,62,3016,3762,64,0,0,3106,0,0,0,0,0,7770,5412,9404,748,0,0,0,0,8,2,0,0,0,0,0,0,6904,0,0,0,66,16,14,26,14,6766,2,0,0,0,5534,1008,206,82,52,20,2,0,0,0,17184,0,0,2,0,3106,228,7342,2038,,,,,,,,,9260,23.58,17184,17184,16774,9,442,1602,17040,6904,1209600,0,,,,3773.76,0.0,3074.88,0,18,0,0,0,2322,2850,1430,230,72,0,0,,0,17184,,116,4,18,28,210,2380,2764,1384,0,0,,,,,,,,,,46,20,0,0,0,0,0,0,0,0,164,8,2,0,0,298,68,10800,1190,0,0,0,0,0,54.46,42,3442,2862,486,42,70,2,0,0,0,0,0,0
neg,101642,,1702,1566,0,0,0,0,0,20,370078,3008690,3458758,673586,55500,0,3597726,0,0,0,11568,17144,7153608,6167984,1250444,722138,0,0,0,0,3142,830,0,0,0,0,0,1039092,5551540,713978,262022,0,8652,3074,6116,732438,5590010,1224916,1426,0,0,0,2738854,1415774,713452,594152,659198,1047838,394858,2506,0,0,8419118,0,20,24,36,3597726,129828,724610,521690,174600,196320,210480,153300,162640,158220,,,165020,101642.74,8419118,8419118,8596704,35873,381864,102122,1128600,7566632,1209600,449740,0,296,0,6565289.28,0.0,987693.12,0,0,0,0,39458,792614,2624064,2574678,1199266,245228,79312,12012,6022,6228,8419118,,22248,3840,102614,857038,359526,4666668,1524722,29970,6,0,2426,1762,6318848,1032,0,113570,0,86,6621262,10010,342,0,0,0,0,0,0,0,0,63472,132242,20900,0,0,426358,79016,379180,337084,0,0,0,0,9602870,6098.24,6798,1077122,1977330,1533724,541714,781704,479020,315554,206982,547338,106144,0,0
neg,1730,,2130706434,42,0,0,0,0,0,0,76,11436,73308,11236,0,0,38040,0,0,0,0,0,89528,80536,13928,7022,0,0,0,0,8,10,0,0,0,0,0,7918,70050,3562,14526,0,56,10,22,32,21218,74718,0,0,0,0,33548,44470,12820,4632,564,22,0,0,0,0,103468,4,18,130,0,38040,958,9018,4894,,,,,,,,,13780,1729.41,103468,103468,105686,363,0,10216,103240,96056,1209600,1900,2,2,0,88166.4,0,7811.52,0,0,0,0,0,6406,45530,43332,544,202,42,0,2,8,103468,,124,16,1614,1436,1480,78174,12630,576,6,0,36,10,88568,34138,0,8,0,32,88634,58,38,0,0,0,0,0,0,0,0,532,414,282,59554,11418,1372,372,531000,53082,7130,22,0,0,729410,37.62,40,8418,7954,5540,3584,16140,54020,400,0,0,0,0,0
neg,448,2,36,30,0,0,0,0,0,5552,4194,51678,6072,0,0,0,30672,0,0,0,2502,4464,69678,57280,98316,5962,4,0,0,0,78,20,0,0,0,0,0,0,0,1150,66346,0,1886,284,332,310,726,59694,66,4198,0,0,49206,8672,4260,2156,1424,934,480,258,90,16,170560,8,8,0,0,30672,984,79388,18336,,,,,,,,,97380,448.83,170560,170560,165882,207,0,16368,169640,67656,1209600,1860,0,12,0,29432.64,6110.4,30894.72,20,110,0,3006,5938,16244,26174,12540,3548,28,14,4,8,14,170560,0,1542,98,5508,3194,3022,14664,37852,1582,34,0,64,48,30244,8740,0,4,0,0,32458,208,180,0,0,40,8366,0,0,0,0,1024,38,8,0,0,1156,214,440,44,0,0,0,0,0,318.86,254,38966,10788,2898,462,1036,958,1212,11174,2,0,0,0
neg,120698,0,4600,,0,0,0,0,0,0,0,0,0,0,0,0,3947932,0,0,0,20458,29792,6709190,6170596,973946,454870,0,0,0,0,886,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7704770,84,12244,24532,0,3947932,88836,532034,437194,94200,98060,128200,147400,124520,330200,,,38340,120698.58,7704770,7704770,7642792,0,614492,36476,432320,7328094,1209600,0,,,,6686982.72,85535.04,548565.12,0,0,0,0,0,0,0,0,0,0,0,0,,0,7704770,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3558,236,0,0,0,85558,0,0,0,0,42408,19518,7350,22849472,2506320,255820,34602,10271960,2016128,6922796,271010,0,0,81619190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,43278,,0,,0,0,0,0,0,0,190,188352,1833374,704592,11018,0,1110366,0,0,0,0,0,2294156,1865044,540520,377268,0,0,0,0,0,0,0,0,0,0,0,47340,1440540,1249640,6,0,2596,742,866,43394,2150888,538986,54,0,0,0,1253874,434936,254958,189802,242540,271474,89942,0,0,0,2835182,0,46,162,0,1110366,40444,298794,239036,231120,240260,,,,,,,62820,43277.97,2835182,2835182,2832966,15222,26638,37234,409480,2737526,1209600,0,,,,2461597.44,0.0,273552.96,0,0,0,0,0,18800,810448,1280320,588468,31456,7036,998,,0,2835182,,4306,600,45080,152026,156306,1996074,363210,19772,152,0,,,,,,,,,,2346,140,0,0,0,0,0,0,0,0,23964,134630,27994,0,0,49272,8834,26897040,2813552,0,0,0,0,3277970,1016.74,1230,287556,327394,358500,307286,849304,459162,132624,14578,1122,0,0,0
neg,3878,,42,40,0,0,0,0,0,0,408,43856,139846,91144,14418,0,125538,0,0,0,0,0,280426,254262,37372,13834,0,0,0,0,42,10,0,0,0,0,0,0,136428,67406,85838,0,1544,5420,3886,7318,13370,258060,74,0,0,0,215056,44386,16464,8344,3516,1544,358,4,0,0,317962,20,390,136,0,125538,2380,10988,25824,,,,,,,,,35960,3877.83,317962,317962,313950,729,52,30952,316260,289672,1209600,6194,6,16,0,146883.84,7834.56,134199.36,6,98,0,0,0,8978,95372,105014,79786,432,90,0,2,14,317962,,858,88,3126,54508,15326,69398,138764,7314,290,0,60,110,145668,60580,24,14,0,0,160254,546,62,0,0,0,7862,0,0,0,0,1664,380,102,0,0,3342,710,200,20,0,0,0,0,1042980,345.48,306,146830,37708,13940,66904,19132,2812,972,358,1016,0,0,0
neg,61712,,382,292,0,0,0,0,0,0,142,139262,3014928,1339086,30394,0,2163246,0,0,0,0,0,4077512,3639956,703032,350888,0,0,0,0,1252,330,0,0,0,0,0,52744,995992,3450958,24118,0,3130,2448,4416,654990,3263508,593418,1900,2,0,0,1451008,1211178,486884,403848,397568,466244,107082,0,0,0,4781340,0,16,340,12,2163246,63426,398536,303326,155400,184620,213660,,,,,,140500,61711.58,4781340,4781340,4785334,26392,3890,109656,1143420,4523812,1209600,150492,0,196,0,3948656.64,0.0,571430.4,0,0,0,0,0,6478,823646,2204056,1385636,90548,11876,1572,4,10,4781340,,6720,902,156894,297250,312296,3219348,517266,13092,44,0,588,934,3907904,133038,24,12920,0,0,3987048,3054,232,0,0,0,0,0,0,0,0,30968,55410,9688,0,0,181896,24982,138620,35406,0,0,0,0,2170480,1704.98,1908,598758,1071190,758248,373086,782978,548280,204558,82718,98566,5430,0,0
neg,59928,,2232,2026,0,0,0,0,0,0,12050,1290456,2002676,779990,60842,8408,1823632,88944,0,0,0,0,3235016,2392530,1038848,764098,0,0,842,0,4486,650,0,0,0,0,0,422,3157726,991250,5024,0,2664,1516,1656,94354,2611114,1442158,960,0,0,0,1418482,1140098,323128,245384,199342,168704,231620,427628,36,0,4274682,116,104,318,28,1823632,66798,311144,724256,217860,343520,375900,,,,,,92760,59928.26,4274682,4274682,4258834,26364,440,57640,636440,4154422,1209600,109682,2,118,0,3250026.24,0.0,901252.8,0,0,0,0,0,506750,1683188,1476456,448776,34472,4502,278,12,18,4274682,,6722,688,134952,459724,216620,1853044,1448224,34186,262,0,3182,2346,3326844,85778,0,2192,0,12,3331440,2832,386,0,0,0,0,0,0,0,0,44464,50690,9856,0,0,139478,27368,16800,2596,2295194,958,0,0,0,1528.8,1816,934452,638342,414474,198450,392228,368188,387602,309276,495212,16198,0,0
neg,81580,,182,156,0,0,0,0,0,0,1638,429738,3417780,1268726,81490,3024,2278004,0,0,0,0,0,4647818,4003674,915180,541062,0,0,2106,0,440,106,0,0,0,0,0,171350,2345062,2340834,345150,0,2824,410,972,210170,3784268,1203066,686,0,0,0,1502028,1411514,378444,306062,271532,273718,386312,672156,630,0,5563918,24,26,284,44,2278004,59072,537840,373712,212560,201960,176380,198640,,,,,115100,81579.32,5563918,5563918,5552168,37222,56,65208,713800,5202396,1209600,173518,2,56,0,4660245.12,19451.52,519144.96,0,0,0,0,0,12736,1066450,2981226,1083212,47180,10820,772,102,110,5563918,,7268,1008,136894,301080,227430,3379112,1125966,23534,104,0,276,276,4636004,64336,0,213922,0,16,4701742,3334,254,0,0,50,19626,0,0,0,0,35392,72976,13820,0,0,149612,24430,144560,17410,0,0,0,0,32521530,1922.8,2194,596006,986298,748962,346394,689088,596224,450844,289700,461544,37336,0,0
neg,1504,0,2,42,0,0,0,0,0,30,1088,454,212,0,0,0,32984,0,0,0,9248,13492,121842,122220,18596,3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,0,14,4,2,6,8,644,1048,58,0,0,1380,154,66,48,52,20,14,18,10,22,149778,0,0,0,0,32984,598,8472,10014,,,,,,,,,18060,1503.14,149778,149778,27466,4,0,14626,149160,1792,1209600,122,4,18,0,71366.4,0,38556.48,0,4,0,0,1118,246,420,0,0,0,0,0,2,0,149778,0,22,4,2,0,0,292,1148,316,0,0,92,36,72492,46008,0,4,0,0,72498,6,0,0,0,0,0,0,0,0,0,716,0,0,0,0,116,12,2100,212,0,0,0,0,7360,0.08,6,816,672,252,32,12,0,0,0,0,0,0,0
pos,252322,,1192,308,0,0,0,110,418832,4634074,10396104,8532248,2680112,334410,9424,0,10191682,5774,0,0,1760216,2941600,20083706,18650004,7508744,2648242,4,0,0,0,6096,1844,0,0,0,0,0,0,3462,13954138,13047714,0,75334,62878,87190,178526,8563180,18038204,2,0,0,0,12902282,7781176,2734318,1218032,677046,517472,467838,363844,159432,183874,29354932,7466,11258,8694,6,10191682,351368,2947040,4540492,344160,405460,384720,273040,255740,280200,297120,334140,55980,252322.98,29354932,29354932,29357648,109868,25154,13272,299040,27005314,1209600,671228,0,184,0,15540961.92,5155906.56,6293937.6,,,61292,2631614,7455340,9682336,5557950,1444580,139352,29724,3126,0,46,344,29354932,,16954,2954,6355078,4880580,8895642,6853300,806,0,0,0,626,908,5390524,1497812,0,42012,0,0,5701822,22620,3618,0,0,290,5154888,0,0,0,0,223846,119838,27646,0,0,852352,117768,2512000,336836,0,0,0,0,18331850,,,11602342,4075492,2507862,816768,1762818,4035504,1357786,811616,35126,0,0,0
neg,30988,,2130706432,,0,0,0,0,0,0,12138,1301838,2375548,514974,5978,0,2190948,2192,0,0,0,0,3480050,2589744,1125540,772440,0,0,40932,0,22964,2344,0,0,0,0,0,106666,3987388,97702,18720,0,5782,2644,3200,3626,20502,4174682,38,2,0,0,1860792,983402,360678,244282,242934,481844,36544,0,0,0,4606962,0,182,22,0,2190948,107696,572530,550726,316980,295300,263400,,,,,,237460,30988.46,4606962,4606962,4613868,21448,626844,88416,965040,4210476,1209600,0,,,,3496758.72,0,707734.08,0,562,0,0,0,67424,818202,2178542,991616,133874,17470,3348,,18,4606962,,10660,1614,303020,421962,209076,1533498,1665494,64776,366,10,,,,,,,,,,7866,178,0,0,0,0,0,0,0,0,75460,14796,4144,0,0,168132,26298,41352160,5162168,0,0,0,0,988490,2793.6,3048,746186,2518492,438440,181422,138134,65624,47946,30206,43622,404,0,0
neg,50972,,100,94,0,0,0,0,0,0,1318,529012,1974116,562670,27178,558,1400086,0,0,0,0,0,2872010,2624474,303016,203088,0,0,0,0,166,28,0,0,0,0,0,23208,1000288,1825662,245690,0,4000,3180,2984,91012,2320248,673404,20,0,0,0,1049024,754082,253208,185096,136678,121630,179024,416098,6,0,3175504,1900,4510,1448,0,1400086,23528,126358,174366,102080,131240,,,,,,,64660,50971.81,3175504,3175504,3153842,22032,770,72628,750740,3094884,1209600,80838,2,58,0,2522690.88,0,570049.92,0,0,0,0,0,93268,931572,1633544,402420,28912,4822,310,4088,4100,3175504,,4066,522,45814,327768,88404,1226820,1382600,18556,296,0,150,106,2454100,907006,0,28860,0,16,2538238,1786,124,0,0,0,0,0,0,0,0,13900,22682,13020,0,0,68006,11044,2407200,510976,0,0,0,0,1389050,1027.96,1086,584750,347246,293044,140366,295686,328030,220870,344430,481480,58946,0,0
neg,1538,10,108,,0,0,0,0,9452,38646,106922,64228,3804,0,0,0,172,0,0,0,0,0,1048,124,41066,0,0,0,0,0,280,210,0,0,0,0,0,0,0,24958,198094,0,5032,354,482,594,1422,143918,27214,44032,4,0,164418,18028,16608,11558,5622,2990,1800,1222,468,338,42126,4,12,674,0,172,38,40786,212,,,,,,,,,40980,1537.84,42126,42126,391998,719,0,4174,42020,223540,1209600,2974,,,,75908.16,26794.56,118822.08,24,168,10760,22990,64296,43038,34830,44226,2642,182,56,32,,48,42126,0,1948,128,14404,25236,35036,47204,91688,7284,124,0,,,,,,,,,,602,172,0,0,30,26900,0,0,0,0,70,114,22,0,0,1246,338,0,0,43204,618,0,10,537860,607.8,370,149706,14976,3740,1110,2184,4654,4380,4238,37518,546,0,0
neg,35734,,110,106,0,0,0,0,0,0,1162,326712,1628690,296646,2244,0,991576,0,480,0,0,0,2000314,1721322,354276,242490,0,0,0,0,292,40,0,0,0,0,0,210,761128,1488424,5692,0,1366,500,972,88036,1818378,344208,1994,0,0,0,690946,503234,209386,151530,150228,343026,207104,0,0,0,2355054,0,136,258,12,991576,30224,215064,138632,173940,,,,,,,,176480,35733.34,2355054,2355054,2367552,16449,5394,112062,1141240,2255454,1209600,81762,2,38,0,2044551.36,0.0,209335.68,0,0,0,0,0,51896,540738,1151942,482024,21642,6006,1206,6,12,2355054,,3338,420,61172,117868,65492,1370886,620246,15908,124,0,158,128,1932806,76104,0,350,0,16,2054246,1284,244,0,0,0,0,0,0,0,0,15844,28512,5440,0,0,71558,14300,272100,75368,0,0,0,0,0,861.56,884,223880,471890,310560,142786,268852,230890,212006,176250,209730,8610,0,0
